,DateTime,Service,Base,BuildingNo,Electricity,Gas,Water,BuildingTemp
0,1664197182,RAF,RAF Henlow,57,15,28,41,19
1,1664197187,RAF,RAF Henlow,57,13,23,43,18
2,1664197192,RAF,RAF Henlow,57,17,27,40,19
3,1664197197,RAF,RAF Henlow,57,17,24,42,20
4,1664197202,RAF,RAF Henlow,57,16,24,40,19
5,1664197207,RAF,RAF Henlow,57,11,23,42,20
6,1664197212,RAF,RAF Henlow,57,11,25,45,20
7,1664197217,RAF,RAF Henlow,57,8,22,44,20
8,1664197222,RAF,RAF Henlow,57,9,23,44,19
9,1664197227,RAF,RAF Henlow,57,12,18,46,20
10,1664197232,RAF,RAF Henlow,57,11,14,47,20
11,1664197237,RAF,RAF Henlow,57,6,14,42,19
12,1664197242,RAF,RAF Henlow,57,10,11,45,20
13,1664197247,RAF,RAF Henlow,57,15,12,48,19
14,1664197252,RAF,RAF Henlow,57,13,11,47,20
15,1664197257,RAF,RAF Henlow,57,18,8,47,19
16,1664197262,RAF,RAF Henlow,57,23,9,43,20
17,1664197267,RAF,RAF Henlow,57,25,11,39,21
18,1664197272,RAF,RAF Henlow,57,25,16,43,22
19,1664197277,RAF,RAF Henlow,57,25,14,43,22
20,1664197282,RAF,RAF Henlow,57,28,11,41,21
21,1664197287,RAF,RAF Henlow,57,29,9,44,22
22,1664197292,RAF,RAF Henlow,57,27,6,48,22
23,1664197297,RAF,RAF Henlow,57,28,7,52,22
24,1664197302,RAF,RAF Henlow,57,28,4,52,23
25,1664197307,RAF,RAF Henlow,57,31,6,47,22
26,1664197312,RAF,RAF Henlow,57,36,11,43,21
27,1664197317,RAF,RAF Henlow,57,34,11,41,22
28,1664197322,RAF,RAF Henlow,57,35,7,42,22
29,1664197327,RAF,RAF Henlow,57,31,12,40,21
30,1664197332,RAF,RAF Henlow,57,29,12,35,22
31,1664197337,RAF,RAF Henlow,57,29,14,36,22
32,1664197342,RAF,RAF Henlow,57,26,10,41,22
33,1664197347,RAF,RAF Henlow,57,29,12,46,21
34,1664197352,RAF,RAF Henlow,57,24,14,42,22
35,1664197357,RAF,RAF Henlow,57,21,11,47,23
36,1664197362,RAF,RAF Henlow,57,24,11,49,23
37,1664197367,RAF,RAF Henlow,57,28,9,51,23
38,1664197372,RAF,RAF Henlow,57,26,14,46,23
39,1664197377,RAF,RAF Henlow,57,21,17,41,22
40,1664197382,RAF,RAF Henlow,57,19,18,46,23
41,1664197387,RAF,RAF Henlow,57,20,22,45,22
42,1664197392,RAF,RAF Henlow,57,23,23,49,21
43,1664197397,RAF,RAF Henlow,57,27,26,51,22
44,1664197402,RAF,RAF Henlow,57,25,31,48,21
45,1664197407,RAF,RAF Henlow,57,21,29,53,21
46,1664197412,RAF,RAF Henlow,57,23,25,51,22
47,1664197417,RAF,RAF Henlow,57,19,29,48,22
48,1664197422,RAF,RAF Henlow,57,22,32,49,23
49,1664197427,RAF,RAF Henlow,57,25,33,49,22
